,ME,RMSE,MAE,MPE,MAPE,MASE,ACF1,Theil's U
Training set,13.06815916,1878.84614,107.923536,-84.53452971,139.537047,0.675932847,0.167384885,NA
Test set,-14.09733441,2003.14384,112.2781706,-170.041918,204.6951288,0.703206236,0.025825234,0.985621135
