,ME,RMSE,MAE,MPE,MAPE,MASE,ACF1,Theil's U
Training set,-8927.771508,4409779.657,474051.9376,0.04307752,0.407596081,0.029898836,0.428333473,NA
Test set,-9214123.211,33058854.03,23088878.01,-8.732889016,17.81554657,2.095733679,0.985225776,6.718816673
