,ME,RMSE,MAE,MPE,MAPE,MASE,ACF1,Theil's U
Training set,664.9766025,81960.04463,8154.482789,6.67E-06,8.18E-05,0.011732681,0.055375523,NA
Test set,2346270.513,2601330.403,2347276.144,0.023529126,0.023539212,3.377264031,0.996951697,51.70723963
