,ME,RMSE,MAE,MPE,MAPE,MASE,ACF1,Theil's U
Training set,-329.8932093,3462464.802,547320.7178,-0.008654634,0.422328695,0.049679264,0.126586488,NA
Test set,1975465.589,24554282.02,18705169.09,1.082516165,14.35832916,1.697832732,0.979990309,5.102176746
