,ME,RMSE,MAE,MPE,MAPE,MASE,ACF1,Theil's U
Training set,-1.01E-08,4346249.047,554123.2884,-0.062114638,0.463767877,0.05029672,0.301345841,NA
Test set,-2283612.811,25520040.2,18160415.87,-2.507268199,14.20759028,1.648386516,0.973312752,5.694975362
