,ME,RMSE,MAE,MPE,MAPE,MASE,ACF1,Theil's U
Training set,-0.020889157,1.303545752,0.891711826,-0.013695693,0.935354838,0.72181997,0.265816096,NA
Test set,0.599805962,1.499711729,1.181606845,0.614739889,1.235339343,0.953222782,0.246829675,1.082394014
