,ME,RMSE,MAE,MPE,MAPE,MASE,ACF1,Theil's U
Training set,-0.018922417,0.946514508,0.725724561,-0.029909387,0.763212066,0.585454619,0.253201476,NA
Test set,0.236259435,1.367701028,1.061239937,0.233450782,1.112047475,0.856120705,0.246735597,0.98794208
