,ME,RMSE,MAE,MPE,MAPE,MASE,ACF1,Theil's U
Training set,6.387080163,2331.968689,83.48336757,108.6627186,117.2192242,0.53219314,0.13138934,NA
Test set,-35.67751882,2203.292277,115.5828302,-243.7292816,246.5630406,0.723903556,0.005305131,1.073380669
