,ME,RMSE,MAE,MPE,MAPE,MASE,ACF1,Theil's U
Training set,9.128266294,2331.982124,85.46264248,118.3309225,124.7725254,0.544810702,0.131391734,NA
Test set,-32.37051237,2782.365537,129.1224812,-220.5332518,223.944915,0.808703361,0.007939623,1.30435741
