,ME,RMSE,MAE,MPE,MAPE,MASE,ACF1,Theil's U
Training set,-337.1587887,113361.5373,8632.510056,-3.38E-06,8.66E-05,0.007268375,0.000735062,NA
Test set,1167306.7,1358846.636,1241403.042,0.011706359,0.012449499,1.786132345,0.989900778,27.01141317
