,ME,RMSE,MAE,MPE,MAPE,MASE,ACF1,Theil's U
Training set,-1.48E-15,1.195068864,0.911204298,-0.016115874,0.958944199,0.735084347,0.244285175,NA
Test set,0.067570656,1.131059269,0.90568624,0.056711796,0.950309019,0.730632834,0.257444465,0.817663997
