,ME,RMSE,MAE,MPE,MAPE,MASE,ACF1,Theil's U
Training set,0.000153522,0.405486127,0.295727912,-0.004456549,0.311128614,0.238568847,-0.023312232,NA
Test set,-0.267374014,1.242696122,0.970893568,-0.294186527,1.021792257,0.783236718,0.335712174,0.899466129
